# DR7OBJID,RA,DEC,REDSHIFT,OIII_EW,L_FUV,L_FUV_ERR,SFR,SFR_ERR,METALLICITY,METALLICITY_ERR_UPPER,METALLICITY_ERR_LOWER,M_STELLAR
587725073921409255 ,  146.242618 ,   -0.762639 ,  0.3002 ,   312.8 ,    1.04    ,    0.21     ,   12.45   ,   0.52 ,    8.78    , 8.85    ,    8.71   ,    9.76  
588848899919446344 ,  195.546460 ,   -0.087897 ,  0.2255 ,   834.4 ,    0.19    ,    0.04     ,    4.47   ,   0.22 ,    8.75    , 8.87    ,    8.59   ,    9.07  
587725576962244831 ,  261.776373 ,   59.817273 ,  0.3472 ,   651.5 ,            ,             ,   24.98   ,   1.48 ,    8.71    , 8.79    ,    8.61   ,    9.81  
587731187273892048 ,  351.413453 ,    0.752012 ,  0.2770 ,   319.6 ,    0.99    ,    0.06     ,   11.11   ,   0.85 ,    8.70    , 8.79    ,    8.59   ,    9.38  
587731513693503653 ,   50.687082 ,    0.745111 ,  0.3043 ,   282.1 ,    1.09    ,    0.27     ,   14.22   ,   0.80 ,    8.83    , 8.87    ,    8.79   ,    9.89  
587724233716596882 ,   22.292299 ,   14.992956 ,  0.2800 ,   354.0 ,    1.53    ,    0.21     ,   13.37   ,   0.72 ,    8.77    , 8.83    ,    8.71   ,    9.46  
587727179006148758 ,   45.839226 ,   -7.989791 ,  0.1650 ,   886.0 ,            ,             ,    8.72   ,   0.64 ,    8.71    , 8.79    ,    8.61   ,    8.75  
587724241767825591 ,   51.556792 ,   -6.586816 ,  0.1621 ,   822.9 ,            ,             ,   11.44   ,   0.41 ,    8.76    , 8.80    ,    8.72   ,    9.48  
587724240158589061 ,   54.949128 ,   -7.428132 ,  0.2608 ,   397.6 ,    2.00    ,    0.14     ,   28.96   ,   1.68 ,    8.78    , 8.84    ,    8.72   ,    9.74  
587726032778559604 ,  164.319700 ,    2.535293 ,  0.3028 ,   348.5 ,    1.35    ,    0.14     ,    8.75   ,   0.57 ,    8.76    , 8.86    ,    8.64   ,    9.90  
587726032253419628 ,  191.097382 ,    2.261231 ,  0.2395 ,  1151.4 ,            ,             ,   25.24   ,   1.30 ,    8.70    , 8.76    ,    8.63   ,    9.44  
588010360138367359 ,  130.570630 ,    3.635203 ,  0.2194 ,   567.5 ,            ,             ,    6.60   ,   0.21 ,    8.55    , 8.66    ,    8.40   ,    9.71  
587726102030451047 ,  236.787938 ,    3.603914 ,  0.2314 ,   891.8 ,            ,             ,    9.83   ,   0.61 ,    8.74    , 8.81    ,    8.64   ,    8.96  
587729155743875234 ,  173.265848 ,   65.228162 ,  0.2414 ,   475.2 ,    1.61    ,    0.18     ,    5.43   ,   0.24 ,    8.66    , 8.83    ,    8.42   ,   10.05  
587728919520608387 ,  212.938906 ,   62.653138 ,  0.2301 ,   529.0 ,    1.45    ,    0.16     ,   12.80   ,   0.47 ,    8.67    , 8.75    ,    8.59   ,   10.18  
587729229297090692 ,  234.405309 ,   58.794575 ,  0.2143 ,   851.6 ,    0.44    ,    0.06     ,    6.32   ,   0.20 ,    8.58    , 8.71    ,    8.42   ,    9.27  
587725818034913419 ,  235.209139 ,   57.411652 ,  0.2944 ,   173.3 ,    3.50    ,    0.24     ,   16.81   ,   1.18 ,    8.91    , 8.92    ,    8.89   ,   10.31  
587730774416883967 ,  339.396081 ,   13.613062 ,  0.2936 ,   438.3 ,            ,             ,   24.78   ,   0.86 ,    8.55    , 8.68    ,    8.37   ,   10.10  
587730774965354630 ,    6.716985 ,   15.460460 ,  0.2136 ,   754.2 ,            ,             ,    3.32   ,   0.21 ,    8.81    , 8.89    ,    8.73   ,    9.58  
587728906099687546 ,  117.403215 ,   33.621219 ,  0.2733 ,   339.2 ,    2.04    ,    0.26     ,   58.83   ,   2.61 ,    8.79    , 8.81    ,    8.77   ,    9.85  
587725550133444775 ,  156.563375 ,   63.552363 ,  0.3338 ,   933.3 ,    1.27    ,    0.28     ,    3.76   ,   0.28 ,            ,         ,           ,    9.05 
588009371762098262 ,  170.582224 ,   61.912629 ,  0.2045 ,   960.7 ,    0.40    ,    0.07     ,    5.59   ,   0.23 ,    8.70    , 8.83    ,    8.53   ,    8.71  
588011122502336742 ,  181.772142 ,   61.586621 ,  0.2620 ,   760.2 ,    0.68    ,    0.13     ,   13.02   ,   0.62 ,            ,         ,           ,    9.85 
588011103712706632 ,  226.616617 ,   56.450741 ,  0.2786 ,   341.9 ,    1.08    ,    0.17     ,   23.88   ,   0.93 ,    8.90    , 8.92    ,    8.88   ,    9.75  
588013384341913605 ,  141.501678 ,   44.460044 ,  0.1807 ,   651.5 ,    1.55    ,    0.11     ,   14.35   ,   0.89 ,    8.62    , 8.73    ,    8.48   ,    9.08  
587732134315425958 ,  195.368010 ,   51.080893 ,  0.3479 ,   554.4 ,    3.20    ,    0.26     ,   23.17   ,   1.74 ,    8.63    , 8.82    ,    8.34   ,    9.53  
587729777439801619 ,  204.299529 ,   -2.434842 ,  0.2737 ,   399.2 ,            ,             ,    8.63   ,   0.35 ,    8.76    , 8.85    ,    8.64   ,    9.94  
587729777446945029 ,  220.630713 ,   -2.164466 ,  0.2938 ,  1456.6 ,    1.61    ,    0.19     ,   20.22   ,   0.80 ,    8.57    , 8.80    ,    8.14   ,    8.80  
587732152555864324 ,  116.991682 ,   23.609113 ,  0.1552 ,   874.9 ,            ,             ,    3.26   ,   0.07 ,            ,         ,           ,    9.40 
587732578845786234 ,  157.912214 ,    7.265701 ,  0.2525 ,   763.9 ,    0.57    ,    0.18     ,    6.04   ,   0.20 ,    8.52    , 8.64    ,    8.38   ,    9.02  
587733080270569500 ,  163.378431 ,   52.631353 ,  0.2526 ,   418.2 ,    3.61    ,    0.26     ,   27.59   ,   1.09 ,    8.78    , 8.82    ,    8.75   ,    9.75  
588297864714387604 ,  131.975356 ,   33.615227 ,  0.3063 ,   323.7 ,    1.89    ,    0.20     ,   21.46   ,   0.71 ,    8.81    , 8.86    ,    8.74   ,    9.50  
587735695911747673 ,  204.919632 ,   55.461137 ,  0.2291 ,    42.1 ,    1.41    ,    0.16     ,    3.22   ,   0.13 ,    8.71    , 8.79    ,    8.61   ,    9.94  
587735696987717870 ,  213.630037 ,   54.515587 ,  0.2270 ,   773.7 ,            ,             ,    4.04   ,   0.10 ,    8.58    , 8.70    ,    8.43   ,    8.81  
587733441055359356 ,  251.527242 ,   31.514859 ,  0.2907 ,   868.4 ,    1.20    ,    0.14     ,    6.56   ,   0.36 ,            ,         ,           ,    8.76 
588017605211390138 ,  154.513517 ,   41.105860 ,  0.2371 ,  1191.4 ,    0.88    ,    0.14     ,    8.83   ,   0.25 ,    8.68    , 8.79    ,    8.54   ,    9.82  
588017114517536797 ,  216.023868 ,   42.279524 ,  0.1848 ,  1348.8 ,    1.49    ,    0.12     ,   19.66   ,   1.09 ,    8.78    , 8.81    ,    8.73   ,    9.00  
588017116132540589 ,  228.535985 ,   38.868716 ,  0.3324 ,   632.5 ,    1.77    ,    0.22     ,    6.02   ,   0.36 ,            ,         ,           ,    8.90 
588018090541842668 ,  235.755108 ,   34.767079 ,  0.1875 ,   673.9 ,            ,             ,    2.02   ,   0.05 ,            ,         ,           ,    8.76 
588018090013098618 ,  251.898063 ,   22.783002 ,  0.3138 ,   578.8 ,            ,             ,    4.20   ,   0.49 ,    8.61    , 8.78    ,    8.35   ,    9.27  
588016878295515268 ,  137.879799 ,   31.457439 ,  0.2718 ,   426.3 ,    1.05    ,    0.12     ,    9.18   ,   0.37 ,            ,         ,           ,    9.27 
587735661007863875 ,  139.260529 ,   31.872384 ,  0.3002 ,   219.7 ,    2.08    ,    0.18     ,   20.29   ,   1.51 ,    8.95    , 8.97    ,    8.92   ,    9.44  
588016892783820948 ,  148.712329 ,   37.365500 ,  0.2834 ,   279.9 ,    0.90    ,    0.16     ,    8.42   ,   0.50 ,    8.78    , 8.84    ,    8.70   ,    9.67  
587735663159738526 ,  149.415718 ,   37.702114 ,  0.2867 ,   235.3 ,    1.96    ,    0.23     ,   15.02   ,   0.63 ,            ,         ,           ,    9.75 
588018055114784812 ,  220.041419 ,   46.326930 ,  0.3008 ,   304.4 ,    3.17    ,    0.26     ,   31.50   ,   2.70 ,    8.72    , 8.78    ,    8.65   ,    9.83  
588018055652769997 ,  223.648271 ,   45.482288 ,  0.2687 ,   463.0 ,    1.23    ,    0.13     ,   21.17   ,   2.67 ,    8.84    , 8.94    ,    8.71   ,   10.22  
588017570848768137 ,  192.144310 ,   12.567480 ,  0.2634 ,  1055.8 ,    1.30    ,    0.04     ,   15.01   ,   0.75 ,    8.53    , 8.67    ,    8.34   ,    9.06  
587736915687964980 ,  241.152768 ,    8.333082 ,  0.3123 ,  1388.3 ,    0.55    ,    0.13     ,   10.64   ,   0.58 ,    8.75    , 8.84    ,    8.65   ,    9.90  
587736915687375248 ,  239.858241 ,    8.688655 ,  0.2970 ,   904.8 ,    0.66    ,    0.13     ,    3.44   ,   0.38 ,    8.64    , 8.83    ,    8.33   ,    8.74  
587738410863493299 ,  152.987850 ,   13.139471 ,  0.1439 ,  2388.3 ,            ,             ,    7.99   ,   0.22 ,    8.64    , 8.71    ,    8.55   ,    8.66  
587735349111947338 ,  184.766599 ,   15.435698 ,  0.1957 ,  1487.9 ,            ,             ,    7.47   ,   4.83 ,    8.82    , 8.93    ,    8.67   ,    8.66  
587738570859413642 ,  204.867933 ,   15.278369 ,  0.1921 ,  1289.0 ,    0.64    ,    0.06     ,   18.81   ,   1.57 ,    8.83    , 8.90    ,    8.74   ,    9.96  
587736940372361382 ,  217.614622 ,   34.154720 ,  0.1911 ,   586.8 ,    0.31    ,    0.06     ,    3.92   ,   0.15 ,            ,         ,           ,    9.31 
587739153352229578 ,  117.990764 ,   16.637010 ,  0.2647 ,   440.1 ,    0.66    ,    0.13     ,    6.29   ,   0.21 ,    8.65    , 8.76    ,    8.51   ,    9.96  
587738947196944678 ,  123.966679 ,   21.939902 ,  0.1410 ,  1582.0 ,    0.27    ,    0.03     ,    3.96   ,   0.05 ,    8.55    , 8.69    ,    8.37   ,    8.72  
587738371672178952 ,  125.698590 ,   22.695578 ,  0.2163 ,  1040.6 ,    0.90    ,    0.13     ,   37.41   ,   4.15 ,    8.81    , 8.85    ,    8.76   ,    9.33  
588017978880950451 ,  150.556494 ,   34.704908 ,  0.3210 ,   222.1 ,            ,             ,    4.43   ,   0.26 ,    8.64    , 8.82    ,    8.36   ,    9.58  
587739408388980778 ,  174.342249 ,   35.407413 ,  0.1945 ,   647.2 ,    1.88    ,    0.08     ,   20.38   ,   0.91 ,    8.76    , 8.83    ,    8.69   ,    9.32  
588017977277874181 ,  171.657352 ,   38.050810 ,  0.2469 ,   646.9 ,    1.56    ,    0.11     ,   24.18   ,   0.64 ,    8.56    , 8.63    ,    8.47   ,    9.79  
587739406242742472 ,  178.020352 ,   34.013853 ,  0.3420 ,  1095.0 ,            ,             ,   15.61   ,   0.91 ,            ,         ,           ,    8.86 
587739828742389914 ,  224.396405 ,   22.533833 ,  0.1488 ,  1563.1 ,    0.45    ,    0.06     ,    8.94   ,   0.29 ,    8.55    , 8.66    ,    8.41   ,    9.30  
587739652107600089 ,  238.041673 ,   21.053410 ,  0.2332 ,   893.5 ,            ,             ,    7.29   ,   0.44 ,    8.68    , 8.76    ,    8.57   ,    9.90  
587739721387409964 ,  249.330431 ,   14.651378 ,  0.2923 ,   452.5 ,            ,             ,    9.89   ,   0.17 ,    8.62    , 8.81    ,    8.33   ,    9.64  
587741600420003946 ,  181.252807 ,   26.346595 ,  0.3427 ,   305.2 ,    1.06    ,    0.24     ,   18.45   ,   0.94 ,    8.81    , 8.88    ,    8.73   ,    9.66  
587741421099286852 ,  126.715863 ,   18.347732 ,  0.2972 ,   774.4 ,    0.57    ,    0.18     ,    4.53   ,   0.20 ,    8.75    , 8.88    ,    8.58   ,    8.67  
587741532770074773 ,  133.350354 ,   19.506280 ,  0.2365 ,   860.3 ,            ,             ,    7.50   ,   0.41 ,    8.68    , 8.74    ,    8.61   ,    9.37  
587741817851084830 ,  137.805603 ,   18.518936 ,  0.2622 ,   329.8 ,    1.72    ,    0.16     ,   26.17   ,   1.67 ,    8.89    , 8.92    ,    8.87   ,    9.93  
587741391573287017 ,  145.946756 ,   26.345161 ,  0.2366 ,    12.6 ,            ,             ,    3.15   ,   0.07 ,    8.72    , 8.79    ,    8.64   ,   10.26  
587741392649781464 ,  152.329151 ,   29.272638 ,  0.2219 ,  1042.8 ,    0.34    ,    0.09     ,    4.51   ,   0.19 ,    8.69    , 8.80    ,    8.57   ,    8.55  
587739648351076573 ,  155.239428 ,   29.624017 ,  0.2555 ,   378.8 ,            ,             ,    6.17   ,   0.25 ,    8.82    , 8.85    ,    8.79   ,    9.51  
587741490367889543 ,  158.112322 ,   27.298680 ,  0.1924 ,   840.9 ,    0.56    ,    0.09     ,   12.74   ,   0.41 ,    8.69    , 8.72    ,    8.66   ,   10.02  
587741532781215844 ,  159.779860 ,   27.472509 ,  0.2801 ,   182.2 ,    0.81    ,    0.11     ,    4.57   ,   0.22 ,            ,         ,           ,    9.58 
587742014876745993 ,  141.869487 ,   17.671838 ,  0.2883 ,   760.7 ,    0.86    ,    0.16     ,   12.38   ,   0.36 ,    8.51    , 8.68    ,    8.26   ,    9.38  
588023240745943289 ,  140.705287 ,   19.227629 ,  0.3175 ,   526.8 ,    0.45    ,    0.13     ,   14.38   ,   0.60 ,    8.59    , 8.76    ,    8.33   ,   10.48  
587745243087372534 ,  141.384863 ,   14.053623 ,  0.3013 ,  1430.4 ,    0.97    ,    0.13     ,   18.73   ,   1.13 ,    8.73    , 8.83    ,    8.61   ,    9.08  
587742628534026489 ,  243.276317 ,    9.496990 ,  0.2993 ,   215.7 ,            ,             ,   14.14   ,   0.72 ,    8.70    , 8.80    ,    8.59   ,    9.65  
587744874785145599 ,  121.325174 ,    9.425978 ,  0.3304 ,   534.6 ,            ,             ,   21.67   ,   1.68 ,            ,         ,           ,   10.24 
587742013825941802 ,  197.653081 ,   21.804731 ,  0.2832 ,   273.8 ,    1.08    ,    0.10     ,    9.70   ,   0.68 ,    8.83    , 8.90    ,    8.75   ,    9.27  
587742062151467120 ,  196.734804 ,   22.694003 ,  0.2741 ,   879.9 ,    0.38    ,    0.12     ,    8.83   ,   0.32 ,            ,         ,           ,   10.10 
587741727655919734 ,  193.761316 ,   25.935911 ,  0.3119 ,   660.3 ,    0.99    ,    0.13     ,    7.20   ,   0.43 ,            ,         ,           ,   10.02 
